ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
15311,ENCW,2530,1,Workshop,3,Michael Dhyne,MoWe 3:30PM - 4:45PM,Monroe Hall 114,Introduction to Poetry Writing - Themed,Poetry & Memory,Wait List,15,15,1,"An introduction to the craft of writing poetry, with relevant readings in the genre. Both readings and writing assignments will be on topics that vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15312,ENCW,2530,2,Workshop,3,Landis Grenville,MoWe 5:00PM - 6:15PM,Bryan Hall 312,Introduction to Poetry Writing - Themed,"Poetry, Art & Architecture",Open,8,12,2,"An introduction to the craft of writing poetry, with relevant readings in the genre. Both readings and writing assignments will be on topics that vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15308,ENCW,2560,1,Workshop,3,James Livingood,MoWeFr 2:00PM - 2:50PM,Bryan Hall 332,Introduction to Fiction Writing - Themed,Literary Science Fiction,Wait List,14,14,1,"An introduction to the craft of writing fiction, with relevant readings in the genre. Both readings and writing assignments will be on topics that vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15309,ENCW,2560,2,Workshop,3,Adam Roux,TuTh 5:00PM - 6:15PM,Bryan Hall 233,Introduction to Fiction Writing - Themed,Writing Catastrophe,Wait List,15,15,1,"An introduction to the craft of writing fiction, with relevant readings in the genre. Both readings and writing assignments will be on topics that vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15310,ENCW,2560,3,Workshop,3,Nichole LeFebvre,MoWe 5:00PM - 6:15PM,Bryan Hall 233,Introduction to Fiction Writing - Themed,Unearthing Fiction,Open,13,14,4,"An introduction to the craft of writing fiction, with relevant readings in the genre. Both readings and writing assignments will be on topics that vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11015,ENCW,2600,1,Seminar,3,Jeremy Townley,TuTh 5:00PM - 6:15PM,Bryan Hall 310,Fiction Writing,,Wait List,14,14,2,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11016,ENCW,2600,2,Seminar,3,Robin Sarkin,MoWeFr 12:00PM - 12:50PM,Bryan Hall 312,Fiction Writing,,Open,12,13,1,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11017,ENCW,2600,3,Seminar,3,Michael Okpanachi,TuTh 5:00PM - 6:15PM,Bryan Hall 203,Fiction Writing,,Open,10,11,1,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11018,ENCW,2600,4,Seminar,3,Philip Jason,MoWe 6:30PM - 7:45PM,Bryan Hall 330,Fiction Writing,,Open,9,10,1,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12637,ENCW,2600,5,Seminar,3,Piers Gelly,MoWeFr 11:00AM - 11:50AM,Bryan Hall 332,Fiction Writing,,Open,10,11,1,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14218,ENCW,2600,6,Seminar,3,Olivia Haberman,MoWeFr 9:00AM - 9:50AM,Bryan Hall 310,Fiction Writing,,Open,9,10,0,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13766,ENCW,3310,1,Seminar,3,Lisa Spaar,Th 2:00PM - 4:30PM,Bryan Hall 330,Intermediate Poetry Writing I,,Open,9,11,0,"For students advanced beyond the level of ENWR 2300. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
13768,ENCW,3310,2,Seminar,3,James Livingood,We 5:00PM - 7:30PM,Dawson's Row 1,Intermediate Poetry Writing I,,Open,5,10,0,"For students advanced beyond the level of ENWR 2300. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
14351,ENCW,3350,1,Seminar,3,Thomas Pierce,We 11:30AM - 2:00PM,Dawson's Row 1,Intermediate Nonfiction Writing,,Open,10,11,0,"For students advanced beyond the level of ENWR 2600. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor. For instructions on how to apply to this class, see www.engl.virginia.edu/courses. Prerequisite: Instructor permission."
13762,ENCW,3610,1,Seminar,3,Elizabeth Denton,Th 4:00PM - 6:30PM,Dawson's Row 1,Intermediate Fiction Writing,,Open,4,15,0,"For students advanced beyond the level of ENWR 2600. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
15232,ENCW,3610,2,Seminar,3,Thomas Pierce,Mo 11:30AM - 2:00PM,Bryan Hall 233,Intermediate Fiction Writing,,Open,11,15,0,"For students advanced beyond the level of ENWR 2600. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
14221,ENCW,4810,1,Seminar,3,Elizabeth Denton,We 4:00PM - 6:30PM,New Cabell Hall 187,Advanced Fiction Writing I,,Closed,12,12,0,"Devoted to the writing of prose fiction, especially the short story. Student work is discussed in class and individual conferences. Parallel reading in the work of modern novelists and short story writers is required. For advanced students with prior experience in writing fiction. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
14985,ENCW,4830,1,Seminar,3,Debra Nystrom,Th 2:00PM - 4:30PM,Bryan Hall 233,Advanced Poetry Writing I,,Open,10,12,0,"For advanced students with prior experience in writing poetry. Student work is discussed in class and in individual conferences. Reading in contemporary poetry is also assigned. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
15674,ENCW,4993,2,Independent Study,3,Elizabeth Denton,TBA,TBA,Independent Project in Creative Writing,,Open,0,1,0,"For the student who wants to work on a creative writing project under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
21289,ENCW,4993,3,Independent Study,3,Susan Fraiman,TBA,TBA,Independent Project in Creative Writing,,Open,0,1,0,"For the student who wants to work on a creative writing project under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
21324,ENCW,4993,4,Independent Study,3,Jane Alison,TBA,TBA,Independent Project in Creative Writing,,Open,1,10,0,"For the student who wants to work on a creative writing project under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
14220,ENCW,7310,1,Seminar,3,Paul Guest,Mo 2:00PM - 4:30PM,Bryan Hall 310,MFA Poetry Workshop,,Open,5,12,0,"Graduate-level poetry writing workshop for advanced writing students. A weekly 2.5 hour workshop discussion of student poems.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13769,ENCW,7610,1,Seminar,3,Jane Alison,Mo 2:00PM - 4:30PM,Bryan Hall 203,MFA Fiction Workshop,,Open,5,12,0,"A course devoted to the writing of prose fiction, especially the short story. Student work is discussed in class and in individual conferences. Parallel reading in the work of modern novelists and short story writers is required.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Instructor permission. Limited enrollment."
15406,ENCW,8993,1,Independent Study,3,Debra Nystrom,TBA,TBA,Independent Writing Project,,Open,0,1,0,"Intended for graduate students who wish to do work on a creative writing project other than the thesis for the Master of Fine Arts degree under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Permission of the chair."
15677,ENCW,8993,3,Independent Study,3,Jeffery Allen,TBA,TBA,Independent Writing Project,,Open,0,1,0,"Intended for graduate students who wish to do work on a creative writing project other than the thesis for the Master of Fine Arts degree under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Permission of the chair."
20325,ENCW,8993,4,Independent Study,3,Paul Guest,TBA,TBA,Independent Writing Project,,Open,1,5,0,"Intended for graduate students who wish to do work on a creative writing project other than the thesis for the Master of Fine Arts degree under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Permission of the chair."
10281,ENCW,8995,1,Independent Study,3,Staff,TBA,TBA,Research in Creative Writing,,Open,0,50,0,"Research in creative writing for M.F.A. students.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13179,ENCW,8995,2,Independent Study,3,Staff,TBA,TBA,Research in Creative Writing,,Open,0,3,0,"Research in creative writing for M.F.A. students.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10280,ENCW,8999,1,Independent Study,12-Jan,James Livingood,TBA,TBA,MFA Non-Topical Research,,Open,6,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13725,ENCW,8999,2,Independent Study,12-Jan,Christopher Tilghman,TBA,TBA,MFA Non-Topical Research,,Open,0,30,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13726,ENCW,8999,3,Independent Study,12-Jan,John Casey,TBA,TBA,MFA Non-Topical Research,,Open,0,30,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13727,ENCW,8999,4,Independent Study,12-Jan,Jane Alison,TBA,TBA,MFA Non-Topical Research,,Open,0,30,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13729,ENCW,8999,6,Independent Study,12-Jan,Lisa Spaar,TBA,TBA,MFA Non-Topical Research,,Open,0,30,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13730,ENCW,8999,7,Independent Study,12-Jan,Rita Dove,TBA,TBA,MFA Non-Topical Research,,Open,0,30,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13731,ENCW,8999,8,Independent Study,12-Jan,Gregory Orr,TBA,TBA,MFA Non-Topical Research,,Open,0,30,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13732,ENCW,8999,9,Independent Study,12-Jan,Debra Nystrom,TBA,TBA,MFA Non-Topical Research,,Open,0,30,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13733,ENCW,8999,10,Independent Study,12-Jan,Paul Guest,TBA,TBA,MFA Non-Topical Research,,Open,0,30,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14878,ENCW,8999,11,Independent Study,12-Jan,Jeffery Allen,TBA,TBA,MFA Non-Topical Research,,Open,0,30,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18702,ENEC,3500,1,Lecture,3,John O'Brien,TuTh 12:30PM - 1:45PM,Bryan Hall 235,Eighteenth-Century Topics,"Lit & Social Media, 1650-1800",Wait List,30,30,3,"Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14223,ENEC,4500,1,Seminar,3,John O'Brien,TuTh 9:30AM - 10:45AM,Bryan Hall 334,Advanced Studies in Eighteenth-Century Literature I,Writing and Revolution,Open,16,18,0,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14219,ENEC,8600,1,Lecture,3,Cynthia Wall,MoWe 3:30PM - 4:45PM,Dawson's Row 1,Eighteenth-Century Prose Fiction,,Open,1,12,0,"Studies prose fiction in the 18th century. Authors include Defoe, Haywood, Richardson, Fielding, Burney, Sterne, and Austen.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18724,ENGL,1500,1,Lecture,3,Clare Kinney,TuTh 12:30PM - 1:45PM,Ruffner Hall 175,Masterworks of Literature,Tragedy and Transgression,Open,17,21,0,An introduction to the study of literature. Why is imaginative literature worth reading and taking seriously? How do we prepare ourselves to be the best possible readers of imaginative literature?
18723,ENGL,1550,1,Lecture,3,Anna Brickhouse,MoWeFr 11:00AM - 11:50AM,New Cabell Hall 315,Literature and the Professions,Medical Narratives,Open,8,20,0,An introduction to the study of literature that focuses on the intersections between imaginative literature and other fields of human endeavor.  Why is imaginative literature worth reading and taking seriously?  How can becoming a better reader enhance other aspects of our careers and our lives?
13387,ENGL,2010,100,Lecture,4,Paul Cantor,TuTh 12:30PM - 1:45PM,Claude Moore Nursing Educ G120,History of European Literature I,,Open,4,20,0,"Surveys European literature from antiquity to the Renaissance, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
13388,ENGL,2010,101,Discussion,0,Julia Fisher,Th 3:30PM - 4:45PM,New Cabell Hall 489,History of European Literature I,,Open,2,7,0,"Surveys European literature from antiquity to the Renaissance, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
13389,ENGL,2010,102,Discussion,0,Julia Fisher,Th 5:00PM - 6:15PM,Wilson Hall 244,History of European Literature I,,Open,1,7,0,"Surveys European literature from antiquity to the Renaissance, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
13390,ENGL,2010,103,Discussion,0,Ankita Chakrabarti,Th 2:00PM - 3:15PM,Wilson Hall 238,History of European Literature I,,Open,1,7,0,"Surveys European literature from antiquity to the Renaissance, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
10262,ENGL,3810,100,Lecture,3,Elizabeth Fowler,MoWe 11:00AM - 11:50AM,Maury Hall 209,History of Literatures in English I,,Open,198,239,9,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10265,ENGL,3810,101,Discussion,0,Neal Curtis,We 5:00PM - 6:15PM,New Cabell Hall 415,History of Literatures in English I,,Wait List,15,15,0,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10271,ENGL,3810,102,Discussion,0,Evan Cheney,Th 8:00AM - 9:15AM,New Cabell Hall 183,History of Literatures in English I,,Wait List,15,15,1,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10267,ENGL,3810,103,Discussion,0,Evan Cheney,We 2:00PM - 3:15PM,Astronomy Bldg 265,History of Literatures in English I,,Open,14,15,1,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10264,ENGL,3810,104,Discussion,0,Adam Friedgen,Th 2:00PM - 3:15PM,Bryan Hall 334,History of Literatures in English I,,Wait List,15,15,2,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
