ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
19645,ENAM,3240,101,Discussion,"0","Stephen Railton","Th 3:30PM - 4:20PM","New Cabell Hall 209","Faulkner","",Open,6,18,0,"An intensive study of the works of William Faulkner in the contexts of American literature, southern literature, and international modernism."
19646,ENAM,3240,102,Discussion,"0","Stephen Railton","Th 4:30PM - 5:20PM","New Cabell Hall 209","Faulkner","",Open,0,18,0,"An intensive study of the works of William Faulkner in the contexts of American literature, southern literature, and international modernism."
19574,ENAM,3559,002,Lecture,"3","Lisa Goff","TuTh 3:30PM - 4:45PM","Bryan Hall 235","New Course in American Literature","America and the Global South",Open,1,12,0,"This course provides the opportunity to offer a new course in the subject of American Literature. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19447,ENAM,4500,001,Seminar,"3","Emily Ogden","TuTh 12:30PM - 1:45PM","New Cabell Hall 415","Advanced Studies in American Literature","The Novel and the Romance",Open,1,18,0,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19575,ENAM,4500,003,Seminar,"3","Stephen Cushman, Gary W. Gallagher","We 3:30PM - 6:00PM","Bryan Hall 312","Advanced Studies in American Literature","Voices of the Civil War",Open,4,6,0,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
20780,ENAM,4559,001,Lecture,"3","Carmen Lamas","Tu 3:30PM - 6:00PM","New Cabell Hall 411","New Course in American Literature To 1900","Caribbean Latinx Literature",Open,0,9,0,"This course provides the opportunity to offer a new course in the subject of American Literature To 1900.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19647,ENAM,9500,001,Seminar,"3","Maurice Wallace","Tu 2:00PM - 4:30PM","New Cabell Hall 038","Seminar in American Literature","Afr-Am Lit & Cultural Theory",Open,12,14,0,"Topics range from the colonial period to the cultural influence of pragmatism.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
20142,ENAM,9500,002,Seminar,"3","Lisa Goff","We 6:00PM - 8:30PM","Bryan Hall 235","Seminar in American Literature","Global South Views",Open,4,14,0,"Topics range from the colonial period to the cultural influence of pragmatism.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
20675,ENAM,9500,003,Seminar,"3","Emily Ogden","TuTh 11:00AM - 12:15PM","Bryan Hall 312","Seminar in American Literature","The Novel and the Romance",Closed,14,14,0,"Topics range from the colonial period to the cultural influence of pragmatism.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14685,ENCR,4500,001,Seminar,"3","Kenrick Grandison","Tu 5:30PM - 8:00PM","Bryan Hall 332","Advanced Studies in Literary Criticism","Race in American Places",Open,0,10,0,"Limited enrollment.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19648,ENCR,4500,002,Seminar,"3","Marlon Ross","TuTh 2:00PM - 3:15PM","Brooks Hall 103","Advanced Studies in Literary Criticism","Critical Race Theory",Open,0,12,0,"Limited enrollment.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19649,ENCR,4500,003,Seminar,"3","Rita Felski","MoWe 3:30PM - 4:45PM","The Rotunda Room 150","Advanced Studies in Literary Criticism","Aesthetics and Politics",Open,3,18,0,"Limited enrollment.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19650,ENCR,8559,001,Lecture,"1 - 4","Walter Jost","TuTh 2:00PM - 3:15PM","Bryan Hall 312","New Course in Criticism","Philosophy&Lit: NewRomanticism",Open,2,14,0,"This course provides the opportunity to offer a new course in the subject of Criticism.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19651,ENCR,8640,001,Discussion,"3","Rita Felski","Mo 6:30PM - 9:00PM","Bryan Hall 330","Critical Methods","",Wait List,18,18,4,"'Critical method' is the point at which general philosophical or political claims intersect with specific techniques of interpretation. The aim of this course is to give students a thorough introduction to current debates in the methodology of literary and cultural studies in ways that will aid their own future thinking and writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13004,ENCR,9650,001,Lecture,"3","David Vander Meulen","Fr 9:30AM - 12:00PM","Contact Department","Introduction to Textual Criticism and Scholarly Editing","",Open,2,14,0,"Studies the transmission of texts over the past five centuries and examines theories and techniques of editing literary and non-literary texts, both published and unpublished.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11954,ENCW,2300,001,Seminar,"3","Sean Shearer","MoWe 5:00PM - 6:15PM","Bryan Hall 328","Poetry Writing","",Open,0,15,0,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11955,ENCW,2300,002,Seminar,"3","Robert Elliott","TuTh 11:00AM - 12:15PM","New Cabell Hall 042","Poetry Writing","",Open,1,15,0,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11956,ENCW,2300,003,Seminar,"3","Anna Tomlinson","TuTh 5:00PM - 6:15PM","The Rotunda Room 152","Poetry Writing","",Open,0,15,0,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11957,ENCW,2300,004,Seminar,"3","Michaela Cowgill","MoWeFr 10:00AM - 10:50AM","Bryan Hall 312","Poetry Writing","",Open,0,15,0,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12656,ENCW,2300,005,Seminar,"3","Sasha Prevost","TuTh 5:00PM - 6:15PM","New Cabell Hall 287","Poetry Writing","",Open,0,15,0,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15006,ENCW,2530,001,Workshop,"3","Landis Grenville","TuTh 5:00PM - 6:15PM","Bryan Hall 328","Introduction to Poetry Writing - Themed","Poetry, Art & Architecture",Open,0,15,0,"An introduction to the craft of writing poetry, with relevant readings in the genre. Both readings and writing assignments will be on topics that vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15007,ENCW,2530,002,Workshop,"3","Michael Dhyne","MoWe 5:00PM - 6:15PM","Bryan Hall 334","Introduction to Poetry Writing - Themed","Poetry & Memory",Open,2,15,0,"An introduction to the craft of writing poetry, with relevant readings in the genre. Both readings and writing assignments will be on topics that vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15008,ENCW,2560,002,Workshop,"3","Nichole LeFebvre","TuTh 5:00PM - 6:15PM","Bryan Hall 235","Introduction to Fiction Writing - Themed","Unearthing Fiction",Open,1,15,0,"An introduction to the craft of writing fiction, with relevant readings in the genre. Both readings and writing assignments will be on topics that vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15009,ENCW,2560,003,Workshop,"3","Adam Roux","MoWe 5:00PM - 6:15PM","Bryan Hall 332","Introduction to Fiction Writing - Themed","Writing Catastrophe",Open,2,15,0,"An introduction to the craft of writing fiction, with relevant readings in the genre. Both readings and writing assignments will be on topics that vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11958,ENCW,2600,001,Seminar,"3","Piers Gelly","TuTh 11:00AM - 12:15PM","The Rotunda Room 150","Fiction Writing","",Open,0,15,0,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11959,ENCW,2600,002,Seminar,"3","Philip Jason","MoWe 6:00PM - 7:15PM","Bryan Hall 312","Fiction Writing","",Open,0,15,0,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12654,ENCW,2600,003,Seminar,"3","Jeremy Townley","TuTh 5:00PM - 6:15PM","Bryan Hall 310","Fiction Writing","",Open,0,15,0,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12655,ENCW,2600,004,Seminar,"3","Olivia Haberman","TuTh 9:30AM - 10:45AM","New Cabell Hall 042","Fiction Writing","",Open,0,15,0,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13242,ENCW,2600,005,Seminar,"3","Michael Okpanachi","MoWeFr 9:00AM - 9:50AM","Bryan Hall 310","Fiction Writing","",Open,0,15,0,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15177,ENCW,2600,006,Seminar,"3","Robin Sarkin","MoWeFr 1:00PM - 1:50PM","Bryan Hall 330","Fiction Writing","",Open,3,15,0,"An introduction to the craft of writing fiction, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13984,ENCW,3310,001,Seminar,"3","Paul Guest","We 2:00PM - 4:30PM","Bryan Hall 330","Intermediate Poetry Writing I","",Open,0,12,0,"For students advanced beyond the level of ENWR 2300. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
13985,ENCW,3310,002,Seminar,"3","Debra Nystrom","Tu 10:00AM - 12:30PM","Dawson's Row 1","Intermediate Poetry Writing I","",Open,0,12,0,"For students advanced beyond the level of ENWR 2300. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
19652,ENCW,3310,003,Seminar,"3","Rita Dove","Tu 2:30PM - 5:00PM","Bryan Hall 233","Intermediate Poetry Writing I","",Open,0,12,0,"For students advanced beyond the level of ENWR 2300. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
13986,ENCW,3610,001,Seminar,"3","Elizabeth Denton","Tu 4:00PM - 6:30PM","Dawson's Row 1","Intermediate Fiction Writing","",Open,0,12,0,"For students advanced beyond the level of ENWR 2600. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
13987,ENCW,3610,002,Seminar,"3","Elizabeth Denton","Th 4:00PM - 6:30PM","Dawson's Row 1","Intermediate Fiction Writing","",Open,0,12,0,"For students advanced beyond the level of ENWR 2600. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
14674,ENCW,3610,003,Seminar,"3","Thomas Pierce","Mo 11:00AM - 1:30PM","Bryan Hall 233","Intermediate Fiction Writing","",Open,0,12,0,"For students advanced beyond the level of ENWR 2600. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
14129,ENCW,4350,001,Seminar,"3","Thomas Pierce","We 2:30PM - 5:00PM","Bryan Hall 233","Advanced Nonfiction Writing","",Open,0,12,0,"For advanced students with experience in writing literary nonfiction. Involves workshop of student work, craft discussion, and relevant reading. May be repeated with different instructor. For instructions on how to apply to this class, see www.engl.virginia.edu/courses.   Prerequisite: Instructor permission."
13989,ENCW,4810,001,Seminar,"3","Jeffery Allen","We 4:00PM - 6:30PM","New Cabell Hall 064","Advanced Fiction Writing I","",Open,0,12,0,"Devoted to the writing of prose fiction, especially the short story. Student work is discussed in class and individual conferences. Parallel reading in the work of modern novelists and short story writers is required. For advanced students with prior experience in writing fiction. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
13990,ENCW,4830,001,Seminar,"3","Gregory Orr","Mo 2:00PM - 4:30PM","New Cabell Hall 415","Advanced Poetry Writing I","",Open,0,12,0,"For advanced students with prior experience in writing poetry. Student work is discussed in class and in individual conferences. Reading in contemporary poetry is also assigned. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
21583,ENCW,4993,001,Independent Study,"3","Lisa Spaar","TBA","TBA","Independent Project in Creative Writing","",Open,0,5,0,"For the student who wants to work on a creative writing project under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
15010,ENCW,5310,001,Seminar,"3","Debra Nystrom","Th 2:00PM - 4:30PM","Bryan Hall 233","Advanced Poetry Writing II","",Open,1,15,0,"Intensive work in poetry writing, for students with prior experience. May be repeated with different instructor. For instructions on how to apply to this class, see www.engl.virginia.edu/courses. Prerequisite: Instructor permission."
19653,ENCW,5610,001,Lecture,"3","John Casey","Th 7:00PM - 9:30PM","Bryan Hall 310","Advanced Fiction Writing II","",Open,0,15,0,"A course for advanced short story writers. Student manuscripts are discussed in individual conference and in class. May be repeated with different instructor.  For instructions on how to apply to this class, see www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
13991,ENCW,7310,001,Seminar,"3","Rita Dove","Mo 2:00PM - 4:30PM","Dawson's Row 1","MFA Poetry Workshop","",Closed,10,10,0,"Graduate-level poetry writing workshop for advanced writing students. A weekly 2.5 hour workshop discussion of student poems.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13992,ENCW,7610,001,Seminar,"3","John Casey","Tu 1:00PM - 3:30PM","Dawson's Row 1","MFA Fiction Workshop","",Open,10,12,0,"A course devoted to the writing of prose fiction, especially the short story. Student work is discussed in class and in individual conferences. Parallel reading in the work of modern novelists and short story writers is required.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Instructor permission. Limited enrollment."
21584,ENCW,8993,001,Independent Study,"3","Lisa Spaar","TBA","TBA","Independent Writing Project","",Open,0,5,0,"Intended for graduate students who wish to do work on a creative writing project other than the thesis for the Master of Fine Arts degree under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Permission of the chair."
21751,ENCW,8993,002,Independent Study,"3","Jane Alison","TBA","TBA","Independent Writing Project","",Open,0,5,0,"Intended for graduate students who wish to do work on a creative writing project other than the thesis for the Master of Fine Arts degree under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Permission of the chair."
21752,ENCW,8993,003,Independent Study,"3","Jeffery Allen","TBA","TBA","Independent Writing Project","",Open,0,5,0,"Intended for graduate students who wish to do work on a creative writing project other than the thesis for the Master of Fine Arts degree under the direction of a faculty member.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Permission of the chair."
15601,ENCW,8999,001,Independent Study,"1 - 12","Christopher Tilghman","TBA","TBA","MFA Non-Topical Research","",Open,2,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15602,ENCW,8999,002,Independent Study,"1 - 12","Jane Alison","TBA","TBA","MFA Non-Topical Research","",Open,4,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15603,ENCW,8999,003,Independent Study,"1 - 12","Jeffery Allen","TBA","TBA","MFA Non-Topical Research","",Open,3,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15604,ENCW,8999,004,Independent Study,"1 - 12","John Casey","TBA","TBA","MFA Non-Topical Research","",Open,0,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15605,ENCW,8999,005,Independent Study,"1 - 12","Gregory Orr","TBA","TBA","MFA Non-Topical Research","",Open,0,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15606,ENCW,8999,006,Independent Study,"1 - 12","Rita Dove","TBA","TBA","MFA Non-Topical Research","",Open,0,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15607,ENCW,8999,007,Independent Study,"1 - 12","Lisa Spaar","TBA","TBA","MFA Non-Topical Research","",Open,3,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15608,ENCW,8999,008,Independent Study,"1 - 12","Debra Nystrom","TBA","TBA","MFA Non-Topical Research","",Open,4,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15609,ENCW,8999,009,Independent Study,"1 - 12","Paul Guest","TBA","TBA","MFA Non-Topical Research","",Open,3,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15610,ENCW,8999,010,Independent Study,"1 - 12","James Livingood","TBA","TBA","MFA Non-Topical Research","",Open,2,25,0,"Non-topical research hours taken as part of the Master of Fine Arts degree in Creative Writing.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
21452,ENEC,3200,001,Lecture,"3","Alison Hurley","TuTh 11:00AM - 12:15PM","New Cabell Hall 309","Eighteenth-Century Women Writers","",Open,2,30,0,"For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15474,ENEC,4500,001,Seminar,"3","Michael Suarez","Tu 3:00PM - 5:30PM","New Cabell Hall 068","Advanced Studies in Eighteenth-Century Literature I","English Poetry 1660-1789",Open,0,18,0,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19654,ENEC,8500,001,Seminar,"3","John O'Brien","TuTh 2:00PM - 3:15PM","New Cabell Hall 594","Topics in Eighteenth-Century Literature","Transatlantic Eighteenth Centu",Open,3,14,0,"Topics vary and recently include 'From Classic to Romantic' and 'Eighteenth-Century Poetry.'  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19655,ENGL,1500,001,Lecture,"3","John Parker","MoWe 3:30PM - 4:45PM","Shannon House 107","Masterworks of Literature","Sources of Shakespeare",Open,1,20,0,"An introduction to the study of literature. Why is imaginative literature worth reading and taking seriously? How do we prepare ourselves to be the best possible readers of imaginative literature?"
19656,ENGL,1550,001,Lecture,"3","Herbert Tucker","MoWe 2:00PM - 3:15PM","Wilson Hall 325","Literature and the Professions","Money Talks",Open,0,90,0,"An introduction to the study of literature that focuses on the intersections between imaginative literature and other fields of human endeavor.  Why is imaginative literature worth reading and taking seriously?  How can becoming a better reader enhance other aspects of our careers and our lives?"
13517,ENGL,2020,100,Lecture,"4","Paul Cantor","TuTh 12:30PM - 1:45PM","Astronomy Bldg 265","History of European Literature II","",Open,0,20,0,"Surveys European literature from the Renaissance to the twentieth century, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
13549,ENGL,2020,101,Discussion,"0","Staff","Th 2:00PM - 2:50PM","Shannon House 107","History of European Literature II","",Open,0,7,0,"Surveys European literature from the Renaissance to the twentieth century, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
13550,ENGL,2020,102,Discussion,"0","Staff","Th 3:00PM - 3:50PM","Shannon House 107","History of European Literature II","",Open,0,8,0,"Surveys European literature from the Renaissance to the twentieth century, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
19667,ENGL,3030,100,Lecture,"3","Michael Levenson","MoWe 1:00PM - 1:50PM","Wilson Hall 301","Global Cultural Studies","",Open,9,120,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19668,ENGL,3030,101,Discussion,"0","Aaron Colton","We 4:00PM - 4:50PM","New Cabell Hall 338","Global Cultural Studies","",Open,2,12,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19669,ENGL,3030,102,Discussion,"0","Aaron Colton","We 5:00PM - 5:50PM","New Cabell Hall 338","Global Cultural Studies","",Open,2,12,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19670,ENGL,3030,103,Discussion,"0","Aaron Colton","We 6:00PM - 6:50PM","New Cabell Hall 338","Global Cultural Studies","",Open,0,12,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19671,ENGL,3030,104,Discussion,"0","Elanna Bellows","Th 4:00PM - 4:50PM","New Cabell Hall 191","Global Cultural Studies","",Open,1,12,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19672,ENGL,3030,105,Discussion,"0","Jordan Buysse","Th 5:00PM - 5:50PM","New Cabell Hall 191","Global Cultural Studies","",Open,1,12,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19673,ENGL,3030,106,Discussion,"0","Jordan Buysse","Th 6:00PM - 6:50PM","New Cabell Hall 191","Global Cultural Studies","",Open,2,12,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19674,ENGL,3030,107,Discussion,"0","Aaron Colton","We 2:00PM - 2:50PM","TBA","Global Cultural Studies","",Closed,0,0,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19675,ENGL,3030,108,Discussion,"0","Samantha Wallace","We 3:00PM - 3:50PM","Shannon House 108","Global Cultural Studies","",Open,0,12,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19676,ENGL,3030,109,Discussion,"0","Samantha Wallace","We 5:00PM - 5:50PM","New Cabell Hall 058","Global Cultural Studies","",Open,0,12,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
19677,ENGL,3030,110,Discussion,"0","Elanna Bellows","Th 6:00PM - 6:50PM","Bryan Hall 332","Global Cultural Studies","",Open,1,12,0,"The course analyzes our global cultural condition from a dual historical and literary perspective and follows a development stretching over the last 60 years, beginning with the period just after WW II and continuing to the present day. Of central concern will be the varieties of cultural expression across regions of the world and their relation to a rapidly changing social history, drawing upon events that occur during the semester."
10940,ENGL,3820,100,Lecture,"3","Michael Levenson,Stephen Cushman","MoWe 11:00AM - 11:50AM","Wilson Hall 402","History of Literatures in English II","",Open,9,260,0,"A two-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1800; ENGL 3820, the period 1800 to the present. Required of all majors. For more details on this class, please visit the department website at http://www.engl.virginia.edu."
10942,ENGL,3820,101,Discussion,"0","Neal Curtis","Th 11:00AM - 12:15PM","Dawson's Row 1","History of Literatures in English II","",Open,1,15,0,"A two-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1800; ENGL 3820, the period 1800 to the present. Required of all majors. For more details on this class, please visit the department website at http://www.engl.virginia.edu."
10948,ENGL,3820,102,Discussion,"0","Jordan Burke","We 2:00PM - 3:15PM","Dawson's Row 1","History of Literatures in English II","",Open,3,15,0,"A two-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1800; ENGL 3820, the period 1800 to the present. Required of all majors. For more details on this class, please visit the department website at http://www.engl.virginia.edu."
